time,open,high,low,close,volume,tickVolume
2026-09-17T08:00:00Z,4327.036,4328.319,4310.066,4311.572,0,7048
2026-09-17T09:00:00Z,4311.515,4319.399,4305.13,4306.402,0,6709
2026-09-17T10:00:00Z,4306.329,4325.09,4305.155,4323.983,0,6235
2026-09-17T11:00:00Z,4323.946,4353.342,4323.426,4350.083,0,9042
2026-09-17T12:00:00Z,4349.752,4381.368,4343.921,4373.206,0,15245
2026-09-17T13:00:00Z,4373.46,4375.275,4355.462,4366.873,0,15590
2026-09-17T14:00:00Z,4367.576,4380.084,4352.358,4354.256,0,13291
2026-09-17T15:00:00Z,4354.315,4370.206,4351.12,4369.816,0,9075
2026-09-17T16:00:00Z,4370.023,4372.637,4355.772,4362.533,0,7369
2026-09-17T17:00:00Z,4362.676,4366.043,4357.907,4361.312,0,6540
2026-09-17T18:00:00Z,4361.402,4365.865,4348.47,4351.759,0,6154
2026-09-17T19:00:00Z,4351.814,4356.079,4342.77,4346.419,0,5995
2026-09-17T20:00:00Z,4346.142,4347.016,4340.62,4341.999,0,3418
2026-09-17T22:00:00Z,4343.517,4349.475,4341.546,4344.551,0,3668
2026-09-17T23:00:00Z,4344.497,4348.288,4339.813,4346.527,0,3789
2026-09-18T00:00:00Z,4346.192,4360.302,4342.224,4356.377,0,5821
2026-09-18T01:00:00Z,4356.543,4365.7,4343.913,4348.462,0,8423
2026-09-18T02:00:00Z,4348.404,4356.764,4343.388,4346.819,0,6691
2026-09-18T03:00:00Z,4347.02,4361.157,4334.363,4359.266,0,7009
2026-09-18T04:00:00Z,4359.21,4367.275,4352.956,4367.119,0,5087
2026-09-18T05:00:00Z,4367.04,4378.185,4360.321,4377.308,0,7800
2026-09-18T06:00:00Z,4377.19,4397.498,4377.144,4393.676,0,8348
2026-09-18T07:00:00Z,4393.305,4399.851,4388.836,4393.512,0,6931
2026-09-18T08:00:00Z,4393.477,4398.487,4385.257,4392.442,0,7245
2026-09-18T09:00:00Z,4392.46,4398.285,4373.513,4376.735,0,6912
2026-09-18T10:00:00Z,4376.52,4382.183,4375.605,4381.804,0,5687
2026-09-18T11:00:00Z,4381.611,4388.685,4372.666,4381.293,0,8480
2026-09-18T12:00:00Z,4381.59,4383.07,4353.825,4368.829,0,11039
2026-09-18T13:00:00Z,4368.932,4375.536,4347.338,4349.54,0,13046
2026-09-18T14:00:00Z,4349.173,4361.955,4342.756,4353.232,0,12261
2026-09-18T15:00:00Z,4353.284,4358.173,4348.251,4356.559,0,7834
2026-09-18T16:00:00Z,4356.654,4383.923,4354.898,4382.725,0,9107
2026-09-18T17:00:00Z,4382.911,4397.205,4381.782,4393.309,0,7316
2026-09-18T18:00:00Z,4393.253,4394.521,4379.713,4382.175,0,6029
2026-09-18T19:00:00Z,4382.239,4386.342,4374.951,4376.839,0,5550
2026-09-18T20:00:00Z,4376.532,4383.517,4375.553,4378.192,0,4137
2026-09-20T22:00:00Z,4374.284,4382.587,4373.672,4373.842,0,3803
2026-09-20T23:00:00Z,4373.961,4376.399,4368.969,4372.644,0,3809
2026-09-21T00:00:00Z,4372.897,4376.192,4358.84,4366.826,0,6829
2026-09-21T01:00:00Z,4366.892,4383.584,4366.723,4377.587,0,8979
2026-09-21T02:00:00Z,4377.645,4377.98,4361.136,4364.101,0,6988
2026-09-21T03:00:00Z,4363.968,4368.292,4357.858,4358.888,0,5565
2026-09-21T04:00:00Z,4359.375,4365.647,4355.127,4356.071,0,4650
2026-09-21T05:00:00Z,4355.714,4362.115,4349.212,4351.083,0,6335
2026-09-21T06:00:00Z,4350.966,4355.915,4346.246,4353.16,0,7191
2026-09-21T07:00:00Z,4353.169,4356.319,4341.91,4344.48,0,7933
2026-09-21T08:00:00Z,4344.084,4357.735,4343.351,4353.196,0,6581
2026-09-21T09:00:00Z,4353.396,4355.064,4340.004,4345.557,0,6281
2026-09-21T10:00:00Z,4345.347,4356.854,4342.505,4342.909,0,5395
2026-09-21T11:00:00Z,4342.851,4371.177,4341.909,4369.126,0,6380
2026-09-21T12:00:00Z,4368.93,4375.025,4351.217,4359.688,0,8577
2026-09-21T13:00:00Z,4359.785,4369.626,4345.983,4346.013,0,10855
2026-09-21T14:00:00Z,4346.348,4347.475,4322.84,4339.141,0,12430
2026-09-21T15:00:00Z,4339.352,4356.121,4338.844,4348.082,0,7988
2026-09-21T16:00:00Z,4348.191,4357.109,4343.005,4343.487,0,7239
2026-09-21T17:00:00Z,4343.716,4346.963,4337.393,4344.692,0,6358
2026-09-21T18:00:00Z,4344.8,4352.614,4343.943,4346.251,0,5183
2026-09-21T19:00:00Z,4345.966,4354.064,4342.227,4345.348,0,5292
2026-09-21T22:00:00Z,4347.781,4365.335,4346.561,4361.19,0,3718
2026-09-21T23:00:00Z,4361.181,4370.7,4358.295,4368.535,0,4926
2026-09-22T00:00:00Z,4369.192,4376.088,4348.387,4360.422,0,7306
2026-09-22T01:00:00Z,4360.203,4365.303,4343.724,4348.336,0,10338
2026-09-22T02:00:00Z,4348.625,4355.962,4340.042,4344.613,0,7074
2026-09-22T03:00:00Z,4344.726,4349.491,4339.47,4341.987,0,5464
2026-09-22T04:00:00Z,4341.639,4343.289,4334.984,4342.881,0,4772
2026-09-22T05:00:00Z,4343.011,4347.575,4316.309,4323.906,0,9021
2026-09-22T06:00:00Z,4323.965,4324.576,4315.09,4318.324,0,8019
2026-09-22T07:00:00Z,4318.323,4324.317,4299.662,4301.321,0,7586
2026-09-22T08:00:00Z,4301.128,4335.777,4291.489,4330.049,0,12170
2026-09-22T09:00:00Z,4329.993,4338.026,4312.011,4336.595,0,11078
2026-09-22T10:00:00Z,4336.927,4338.322,4321.662,4321.978,0,8253
2026-09-22T11:00:00Z,4321.569,4323.58,4309.016,4322.489,0,9006
2026-09-22T12:00:00Z,4322.533,4343.942,4320.209,4334.044,0,9817
2026-09-22T13:00:00Z,4334.122,4344.029,4327.746,4333.287,0,13894
2026-09-22T14:00:00Z,4333.557,4338.162,4314.918,4328.006,0,12059
2026-09-22T15:00:00Z,4328.135,4340.768,4325.478,4331.339,0,8873
2026-09-22T16:00:00Z,4331.331,4341.979,4322.663,4336.504,0,6697
2026-09-22T17:00:00Z,4336.039,4352.945,4334.775,4350.96,0,7267
2026-09-22T18:00:00Z,4350.778,4360.733,4347.614,4353.383,0,8694
2026-09-22T19:00:00Z,4353.516,4371.357,4353.298,4364.09,0,7812
2026-09-22T20:00:00Z,4364.133,4364.805,4357.473,4358.831,0,3773
2026-09-22T22:00:00Z,4360.158,4365.418,4359.722,4362.519,0,3072
2026-09-22T23:00:00Z,4362.58,4365.741,4358.223,4363.871,0,3370
2026-09-23T00:00:00Z,4363.921,4369.5,4355.099,4357.52,0,6149
2026-09-23T01:00:00Z,4357.703,4359.281,4339.163,4341.353,0,7469
2026-09-23T02:00:00Z,4341.386,4341.554,4333.287,4334.23,0,5465
2026-09-23T03:00:00Z,4334.024,4345.642,4333.317,4342.853,0,4529
2026-09-23T04:00:00Z,4342.856,4347.551,4342.485,4344.318,0,3952
2026-09-23T05:00:00Z,4344.149,4345.961,4327.952,4334.475,0,4995
2026-09-23T06:00:00Z,4334.325,4337.194,4325.851,4331.61,0,6364
2026-09-23T07:00:00Z,4331.409,4333.098,4318.92,4319.838,0,6984
2026-09-23T08:00:00Z,4319.904,4322.899,4315.405,4318.35,0,6056
2026-09-23T09:00:00Z,4318.34,4320.588,4308.254,4314.123,0,5524
2026-09-23T10:00:00Z,4314.853,4319.193,4312.488,4315.522,0,5200
2026-09-23T11:00:00Z,4315.428,4317.262,4294.501,4309.568,0,7352
2026-09-23T12:00:00Z,4309.45,4319.271,4301,4309.643,0,8021
2026-09-23T13:00:00Z,4309.987,4313.747,4280.766,4284.05,0,13730
2026-09-23T14:00:00Z,4284.167,4298.836,4277.867,4294.533,0,14888
2026-09-23T15:00:00Z,4294.506,4297.648,4277.492,4282.211,0,9707
2026-09-23T16:00:00Z,4282.017,4289.797,4278.473,4285.144,0,7661
2026-09-23T17:00:00Z,4285.348,4293.555,4274.775,4292.919,0,10803
2026-09-23T18:00:00Z,4293.036,4295.091,4282.832,4290.249,0,6533
2026-09-23T19:00:00Z,4290.272,4293.346,4281.11,4284.348,0,6355
2026-09-23T20:00:00Z,4284.139,4290.466,4282.677,4286.982,0,3674
2026-09-23T22:00:00Z,4290.386,4294.544,4286.9,4289.56,0,3978
2026-09-23T23:00:00Z,4289.526,4293.431,4284.963,4288.834,0,3646
2026-09-24T00:00:00Z,4288.952,4299.404,4283.902,4298.462,0,6761
2026-09-24T01:00:00Z,4298.649,4303.533,4277.916,4279.328,0,9266
2026-09-24T02:00:00Z,4279.13,4297.115,4273.689,4291.002,0,7470
2026-09-24T03:00:00Z,4290.557,4294.14,4280.43,4284.887,0,5482
2026-09-24T04:00:00Z,4284.878,4290.524,4281.578,4289.406,0,4723
2026-09-24T05:00:00Z,4289.528,4296.571,4277.461,4279.298,0,6621
2026-09-24T06:00:00Z,4279.179,4286.82,4274.406,4276.226,0,8305
2026-09-24T07:00:00Z,4276.394,4288.184,4274.217,4278.553,0,8131
2026-09-24T08:00:00Z,4278.441,4285.667,4260.727,4261.626,0,11505
2026-09-24T09:00:00Z,4261.401,4267.246,4250.923,4255.4,0,8501
2026-09-24T10:00:00Z,4255.34,4264.382,4244.219,4258.228,0,9096
2026-09-24T11:00:00Z,4258.324,4268.092,4252.085,4265.859,0,7833
2026-09-24T12:00:00Z,4265.8,4283.262,4260.41,4281.243,0,10093
2026-09-24T13:00:00Z,4281.217,4285.072,4265.021,4267.763,0,11335
2026-09-24T14:00:00Z,4267.436,4273.317,4252.394,4253.222,0,11416
2026-09-24T15:00:00Z,4253.338,4260.55,4244.798,4256.937,0,10255
2026-09-24T16:00:00Z,4256.796,4288.738,4252.623,4273.319,0,14862
2026-09-24T17:00:00Z,4272.952,4278.043,4257.918,4264.748,0,11011
2026-09-24T18:00:00Z,4264.801,4281.413,4256.164,4271.739,0,10763
2026-09-24T19:00:00Z,4272.182,4276.099,4266.838,4274.121,0,7249
2026-09-24T20:00:00Z,4273.814,4275.334,4264.52,4274.713,0,4927
2026-09-24T22:00:00Z,4273.673,4276.071,4267.747,4272.665,0,3446
2026-09-24T23:00:00Z,4272.562,4276.077,4264.892,4265.213,0,4036
2026-09-25T00:00:00Z,4265.341,4281.071,4264.402,4278.768,0,6714
